,time,av_time,x,y,ax,ay,bx,by,cx,cy
0,2021-04-08 18:44:00,2021-04-08 18:44:06.500000000,343.0,222.0,,,,,,
1,2021-04-08 18:44:10,2021-04-08 18:44:15.555555584,510.0,157.0,,,,,,
2,2021-04-08 18:44:20,2021-04-08 18:44:25.523809472,492.0,185.0,,,,,,
3,2021-04-08 18:44:30,2021-04-08 18:44:34.233333376,343.0,222.0,,,,,,
4,2021-04-08 18:44:40,2021-04-08 18:44:45.000000000,543.0,145.0,,,,,,
5,2021-04-08 18:44:50,2021-04-08 18:44:54.124999936,393.0,159.0,,,,,,
6,2021-04-08 18:45:00,2021-04-08 18:45:04.677777835,699.0,213.0,,,,,,
7,2021-04-08 18:45:10,2021-04-08 18:45:14.111111083,637.0,168.0,,,,,,
8,2021-04-08 18:45:20,2021-04-08 18:45:25.750000000,524.0,162.0,,,,,,
9,2021-04-08 18:45:30,2021-04-08 18:45:32.583333376,343.0,222.0,,,,,,
10,2021-04-08 18:45:40,2021-04-08 18:45:44.874999936,582.0,158.0,,,,,,
11,2021-04-08 18:45:50,2021-04-08 18:45:54.000000000,393.0,169.0,,,,,,
12,2021-04-08 18:46:00,2021-04-08 18:46:04.400000000,355.0,234.0,,,,,,
13,2021-04-08 18:46:10,2021-04-08 18:46:15.166666624,343.0,222.0,,,,,,
14,2021-04-08 18:46:20,2021-04-08 18:46:25.833333248,567.0,146.0,,,,,,
15,2021-04-08 18:46:30,2021-04-08 18:46:33.166666752,509.0,146.0,,,,,,
16,2021-04-08 18:46:40,2021-04-08 18:46:45.833333333,467.0,185.0,,,,,,
17,2021-04-08 18:46:50,2021-04-08 18:46:54.187499968,327.0,237.0,,,,,,
18,2021-04-08 18:52:00,2021-04-08 18:52:03.250000000,393.0,169.0,,,,,,
19,2021-04-08 18:52:10,2021-04-08 18:52:15.937499968,484.0,145.0,,,,,,
20,2021-04-08 18:52:20,2021-04-08 18:52:23.111111083,567.0,146.0,,,,,,
21,2021-04-08 18:52:30,2021-04-08 18:52:34.571428608,492.0,185.0,,,,,,
22,2021-04-08 18:52:40,2021-04-08 18:52:43.100000000,614.0,156.0,,,,,,
23,2021-04-08 18:52:50,2021-04-08 18:52:55.187499968,355.0,209.0,,,,,,
24,2021-04-08 18:53:00,2021-04-08 18:53:05.000000000,665.0,198.0,,,,,,
25,2021-04-08 18:53:10,2021-04-08 18:53:15.500000000,492.0,185.0,,,,,,
26,2021-04-08 18:53:20,2021-04-08 18:53:24.351190443,637.0,168.0,,,,,,
27,2021-04-08 18:53:30,2021-04-08 18:53:32.966666624,634.0,156.0,,,,,,
28,2021-04-08 18:53:40,2021-04-08 18:53:43.291666688,637.0,168.0,,,,,,
29,2021-04-08 18:53:50,2021-04-08 18:53:55.527777707,634.0,156.0,,,,,,
30,2021-04-08 18:48:00,2021-04-08 18:48:06.000000000,309.0,254.0,,,,,,
31,2021-04-08 18:48:10,2021-04-08 18:48:14.500000000,374.0,188.0,,,,,,
32,2021-04-08 18:48:20,2021-04-08 18:48:24.000000000,374.0,188.0,,,,,,
33,2021-04-08 18:48:30,2021-04-08 18:48:35.249999872,355.0,234.0,,,,,,
34,2021-04-08 18:48:40,2021-04-08 18:48:47.466666667,579.0,168.0,,,,,,
35,2021-04-08 18:48:50,2021-04-08 18:48:55.111111168,595.0,157.0,,,,,,
36,2021-04-08 18:49:00,2021-04-08 18:49:04.055555499,595.0,157.0,,,,,,
37,2021-04-08 18:49:10,2021-04-08 18:49:18.000000000,452.0,166.0,,,,,,
38,2021-04-08 18:49:20,2021-04-08 18:49:24.000000000,402.0,187.0,,,,,,
39,2021-04-08 18:49:30,2021-04-08 18:49:34.500000000,452.0,166.0,,,,,,
40,2021-04-08 18:49:40,2021-04-08 18:49:41.666666667,544.0,169.0,,,,,,
41,2021-04-08 18:49:50,2021-04-08 18:49:55.200000000,366.0,220.0,,,,,,
42,2021-04-08 18:50:00,2021-04-08 18:50:01.333333248,402.0,187.0,,,,,,
43,2021-04-08 18:50:10,2021-04-08 18:50:14.857142784,393.0,159.0,,,,,,
44,2021-04-08 18:50:20,2021-04-08 18:50:23.800000000,402.0,187.0,,,,,,
45,2021-04-08 18:50:30,2021-04-08 18:50:36.750000128,355.0,234.0,,,,,,
46,2021-04-08 18:50:40,2021-04-08 18:50:46.500000000,660.0,170.0,,,,,,
47,2021-04-08 18:50:50,2021-04-08 18:50:54.099999872,309.0,254.0,,,,,,
