,time,av_time,x,y,ax,ay,bx,by,cx,cy
0,2021-04-08 18:44:00,2021-04-08 18:44:03.851851861,346.0,225.66666666666666,343,222,309,254,386,201
1,2021-04-08 18:44:10,2021-04-08 18:44:14.200000051,362.6666666666667,208.0,386,201,393,169,309,254
2,2021-04-08 18:44:20,2021-04-08 18:44:25.688095232,379.6666666666667,200.66666666666666,423,168,323,265,393,169
3,2021-04-08 18:44:30,2021-04-08 18:44:35.944444459,350.0,221.33333333333334,309,254,355,209,386,201
4,2021-04-08 18:44:40,2021-04-08 18:44:45.918518528,394.0,185.66666666666666,393,169,423,168,366,220
5,2021-04-08 18:44:50,2021-04-08 18:44:54.166666642,493.6666666666667,169.33333333333334,512,170,494,169,475,169
6,2021-04-08 18:45:00,2021-04-08 18:45:04.971428608,490.6666666666667,165.0,512,170,475,169,485,156
7,2021-04-08 18:45:10,2021-04-08 18:45:13.380952393,496.6666666666667,161.33333333333334,512,170,494,169,484,145
8,2021-04-08 18:45:20,2021-04-08 18:45:23.214285751,493.6666666666667,169.33333333333334,475,169,494,169,512,170
9,2021-04-08 18:45:30,2021-04-08 18:45:35.173333350,478.6666666666667,157.33333333333334,484,145,512,170,440,157
10,2021-04-08 18:45:40,2021-04-08 18:45:44.250000031,478.6666666666667,174.33333333333334,475,169,494,169,467,185
11,2021-04-08 18:45:50,2021-04-08 18:45:54.033333298,418.6666666666667,161.0,393,169,423,168,440,146
12,2021-04-08 18:46:00,2021-04-08 18:46:06.166666667,353.6666666666667,225.0,366,220,386,201,309,254
13,2021-04-08 18:46:10,2021-04-08 18:46:13.175000064,340.3333333333333,240.33333333333334,355,234,327,237,339,250
14,2021-04-08 18:46:20,2021-04-08 18:46:24.000000000,351.6666666666667,229.0,423,168,323,265,309,254
15,2021-04-08 18:46:30,2021-04-08 18:46:34.877777835,406.0,174.66666666666666,423,168,402,187,393,169
16,2021-04-08 18:46:40,2021-04-08 18:46:44.633333333,378.0,201.33333333333334,355,234,393,169,386,201
17,2021-04-08 18:46:50,2021-04-08 18:46:54.268518571,419.6666666666667,174.33333333333334,393,169,443,186,423,168
18,2021-04-08 18:52:00,2021-04-08 18:52:03.837500032,526.6666666666666,167.0,512,170,524,162,544,169
19,2021-04-08 18:52:10,2021-04-08 18:52:13.458333355,532.3333333333334,173.0,512,170,524,162,561,187
20,2021-04-08 18:52:20,2021-04-08 18:52:24.335714253,539.0,175.33333333333334,561,187,512,170,544,169
21,2021-04-08 18:52:30,2021-04-08 18:52:34.825396821,504.3333333333333,169.0,494,169,475,169,544,169
22,2021-04-08 18:52:40,2021-04-08 18:52:43.821428626,522.0,169.33333333333334,512,170,494,169,560,169
23,2021-04-08 18:52:50,2021-04-08 18:52:54.785714286,507.6666666666667,174.66666666666666,512,170,544,169,467,185
24,2021-04-08 18:53:00,2021-04-08 18:53:04.291666656,539.0,175.33333333333334,512,170,544,169,561,187
25,2021-04-08 18:53:10,2021-04-08 18:53:16.375000000,501.6666666666667,153.66666666666666,512,170,509,146,484,145
26,2021-04-08 18:53:20,2021-04-08 18:53:24.146258505,539.0,175.33333333333334,512,170,544,169,561,187
27,2021-04-08 18:53:30,2021-04-08 18:53:33.496296277,493.6666666666667,169.33333333333334,512,170,494,169,475,169
28,2021-04-08 18:53:40,2021-04-08 18:53:45.305555541,505.0,161.66666666666666,512,170,509,146,494,169
29,2021-04-08 18:53:50,2021-04-08 18:53:53.687499989,526.6666666666666,167.0,512,170,544,169,524,162
30,2021-04-08 18:48:00,2021-04-08 18:48:06.571428480,384.3333333333333,186.0,374,188,386,201,393,169
31,2021-04-08 18:48:10,2021-04-08 18:48:14.736111147,403.6666666666667,185.33333333333334,423,168,386,201,402,187
32,2021-04-08 18:48:20,2021-04-08 18:48:24.555555584,406.0,174.66666666666666,402,187,423,168,393,169
33,2021-04-08 18:48:30,2021-04-08 18:48:34.527777707,433.3333333333333,174.66666666666666,475,169,423,168,402,187
34,2021-04-08 18:48:40,2021-04-08 18:48:44.096938752,394.0,185.66666666666666,393,169,366,220,423,168
35,2021-04-08 18:48:50,2021-04-08 18:48:54.925000000,439.3333333333333,173.33333333333334,443,186,423,168,452,166
36,2021-04-08 18:49:00,2021-04-08 18:49:06.138888917,430.6666666666667,180.0,467,185,423,168,402,187
37,2021-04-08 18:49:10,2021-04-08 18:49:14.452380965,415.6666666666667,154.0,414,146,440,157,393,159
38,2021-04-08 18:49:20,2021-04-08 18:49:25.500000000,389.6666666666667,181.33333333333334,393,169,374,188,402,187
39,2021-04-08 18:49:30,2021-04-08 18:49:34.022222208,403.0,164.0,402,187,414,146,393,159
40,2021-04-08 18:49:40,2021-04-08 18:49:43.761904742,469.6666666666667,161.33333333333334,475,169,494,169,440,146
41,2021-04-08 18:49:50,2021-04-08 18:49:56.200000000,382.0,208.0,386,201,386,235,374,188
42,2021-04-08 18:50:00,2021-04-08 18:50:04.111111083,381.6666666666667,196.66666666666666,386,201,393,169,366,220
43,2021-04-08 18:50:10,2021-04-08 18:50:14.124999808,376.0,215.33333333333334,391,146,323,265,414,235
44,2021-04-08 18:50:20,2021-04-08 18:50:24.541666688,448.0,180.33333333333334,475,169,402,187,467,185
45,2021-04-08 18:50:30,2021-04-08 18:50:33.645833344,393.6666666666667,185.66666666666666,402,187,393,169,386,201
46,2021-04-08 18:50:40,2021-04-08 18:50:46.533333299,396.6666666666667,171.66666666666666,423,168,374,188,393,159
47,2021-04-08 18:50:50,2021-04-08 18:50:55.464285733,470.6666666666667,174.66666666666666,475,169,494,169,443,186
